Time,RHip_FE,RHip_AA,RKnee_FE,RAnkle_FE,RShoulder_AA,RShoulder_RIE,RElbow_FE,RElbow_PS,RWrist_FE,L5S1_FE
0.0,0.1535794396163302,-0.0331084339216794,-0.2000400786480793,0.1609968224255294,-0.0605870048282942,0.1870548949866872,0.3534415327288839,0.9525131418718008,-0.3341312509000561,
0.0166667,0.1402571422937899,-0.0675678221485066,-0.1977248922394589,-0.0358219618869373,-0.0803586469915942,0.1819616753380503,0.3710518354174024,0.946974189566814,-0.3203910355353232,
0.0333333,0.1804093096881564,-0.1106984865883848,-0.2324829815249931,-0.0822617252100362,-0.0751911333890889,0.1827020405160878,0.3725329932046112,0.9459483307601182,-0.3143285324512925,
0.05,0.199171698281797,-0.101207693293988,-0.2459237741373733,-0.0798837764124482,-0.0813996500202096,0.1616846786748889,0.3824814830383145,0.9088155597588228,-0.290472224331985,
0.0666667,0.2064760382097396,-0.1019027621164814,-0.2427933414680866,-0.0792188174866114,-0.0855870422162652,0.1612259105034218,0.3841763520291068,0.9093638594811928,-0.2898374349930653,
0.0833333,0.2220919610159858,-0.0875036170658128,-0.2452356464893151,-0.0758737210130354,-0.1056525342956163,0.161593198638409,0.3883548289088102,0.9128175838511496,-0.2799971594127101,
0.1,0.2190426807463962,-0.0854608877235359,-0.2375794122303879,-0.0826366427027826,-0.1080999499899604,0.1630646276113014,0.3950560558274933,0.9162601145519488,-0.2515192318259592,
0.1166667,0.2218627169056582,-0.0815662588015391,-0.2375054945695062,-0.0878725388289799,-0.1134538581243276,0.1730140635879921,0.397060729487161,0.9223381165088028,-0.2313283093909855,
0.1333333,0.2189485486821179,-0.0813710540221462,-0.2358976922011142,-0.0890930634573957,-0.1154660888851234,0.1752404870887121,0.3976564518997028,0.9173899689766576,-0.2221429043843247,
0.15,0.2196347123111689,-0.0803595849315342,-0.2356097846075674,-0.0879330788902109,-0.1181323142388621,0.1765723750680453,0.4004294371239238,0.9119941799215596,-0.2130892569008909,
0.1666667,0.2191367632433237,-0.080565850211463,-0.234937780660205,-0.0953162314294553,-0.1200992819799025,0.1716328135086223,0.4060094561535454,0.9046420413595242,-0.2074339471598651,
0.1833333,0.2203120180452001,-0.0804052057437862,-0.2377490779559023,-0.0858152335439879,-0.1209321475139006,0.1798920092822298,0.4068925672732474,0.909934206377207,-0.2028325099817601,
0.2,0.2210880060914025,-0.0813621467343086,-0.2402797025714011,-0.0863264645674407,-0.1270327841222252,0.2269715038440254,0.3957451208918928,0.9488405952760788,-0.1867842701669924,
0.2166667,0.2222509793603984,-0.0818411080161555,-0.2420040369087574,-0.080278775838101,-0.1279610455134129,0.2267958196996514,0.4010520817637764,0.9446317159825364,-0.1829774724961413,
