Time,RHip_FE,RHip_AA,RKnee_FE,RAnkle_FE,RShoulder_AA,RShoulder_RIE,RElbow_FE,RElbow_PS,RWrist_FE,L5S1_FE
0.0,1.1388795693948244,-0.1435361827675669,-1.4423960354903649,0.0496176265365389,-0.0506002181074791,0.479901347074295,0.2555601184666085,0.9517137896265008,-0.5700109848848977,
0.0166667,1.2103244657691783,-0.1835047734641489,-1.4804758451821385,0.0700622975045382,-0.0745719376943711,0.4673285859368796,0.290655806789356,0.943004615334072,-0.5504478523204116,
0.0333333,1.1936108875939946,-0.2142647808325379,-1.4895275698363355,0.0490099620576562,-0.0782281970520462,0.4648264704020475,0.288956078976459,0.9412008074292264,-0.5474719627968024,
0.05,1.194534795610429,-0.222096678640954,-1.4892362509967654,0.0491127673611193,-0.0785232800432138,0.4642528979630427,0.2899798320434124,0.9399454015230448,-0.5456477980696931,
0.0666667,1.2016558232579688,-0.2561385155192646,-1.5055531959435835,0.0176756141308586,-0.0564182270923099,0.4046288282840539,0.2811875161995381,0.8950080127331406,-0.4519605323475406,
0.0833333,1.198043391910338,-0.2672314037808665,-1.5033040602987746,0.0053906886794249,-0.0554162082614658,0.384159997246818,0.2857663061598021,0.8825879459141263,-0.4169646583575171,
0.1,1.199171124712808,-0.276274549967257,-1.5155593212615768,0.0094659021067365,-0.0623399882217231,0.3773040971554281,0.3127474123274392,0.8744263110786453,-0.3979462524773563,
0.1166667,1.1954002141529707,-0.2848987590137047,-1.517474464592072,0.0031276705112124,-0.0574360256194542,0.3574017247696989,0.2962208617150368,0.8699535678473314,-0.3898183014492415,
0.1333333,1.1920915371158305,-0.293057454889258,-1.52397202607328,0.0068324512438235,-0.0544651247704461,0.3468718507523248,0.2902604829069952,0.8678978010700751,-0.3754867886052194,
0.15,1.1916545024823406,-0.2966523325879369,-1.5270263657033054,0.0077390620001732,-0.0545549249275209,0.3373340063483539,0.2931918585061639,0.8645932328870596,-0.3675909382678188,
0.1666667,1.1909559655160906,-0.299395094120034,-1.5288362286789252,0.0044797236756573,-0.0566427225108087,0.3290000973927916,0.2983216464678216,0.8642905723744115,-0.3642950501307722,
0.1833333,1.1942241636554884,-0.3038746539092746,-1.5312842606490282,0.0013425128456876,-0.0558219524575927,0.3210550870644819,0.3052438757030385,0.8640878214894646,-0.361416226569914,
0.2,1.1949068373241671,-0.3033556809543258,-1.5325049523054537,0.0071721650964914,-0.052486575897154,0.315658455189888,0.2985729766726355,0.8690605879379069,-0.3658215794972159,
0.2166667,1.1986129331623694,-0.3086815378078891,-1.5339463205999742,-0.0016606919533798,-0.0556132976473851,0.3081425490680126,0.3137583073792602,0.863623942295816,-0.3549409014560409,
0.2333333,1.1975691056674256,-0.3073946180622006,-1.5354032977230612,0.0127135784902564,-0.0548585371682101,0.3397058667393792,0.2891544421036664,0.911388948257121,-0.3089264162285902,
0.25,1.1954409119150016,-0.3073605015877131,-1.534944373170093,0.0154907310371324,-0.0551259294635973,0.3316124299462885,0.2925289433608812,0.9083155416031494,-0.3192674321818632,
0.2666667,1.1970375961869926,-0.3076666630563077,-1.5366645693317929,0.0135054205837851,-0.0534849347725567,0.3294965093491645,0.2909229355400262,0.9048269188512004,-0.3140451967477213,
0.2833333,1.1960431855954237,-0.3092232916728996,-1.5370527270667778,0.0078331876067332,-0.053617981745035,0.3241224255577101,0.2953452172884078,0.9012859288913084,-0.318230586702059,
0.3,1.194280607079899,-0.3087948876925611,-1.538363780527231,0.0172044337013501,-0.051223137462156,0.3212093312352585,0.289409420046617,0.8989757039301527,-0.3248568503331056,
0.3166667,1.1927319179660747,-0.3089246869563673,-1.5384064201425878,0.0187337821236015,-0.0517369025291498,0.3210348169850821,0.2926144098654233,0.9032822186873812,-0.3321518625233937,
0.3333333,1.1912678247865611,-0.3087123037738116,-1.5375361145036075,0.0171371591126673,-0.0519081263100874,0.3175309606503557,0.2963014796949169,0.8984547482811736,-0.335070849251933,
0.35,1.1936085870755075,-0.3117549430655973,-1.539216412089541,0.0208466133134165,-0.0516299443892644,0.3154885842136536,0.2986829666239646,0.8860132631306445,-0.3294485625366184,
0.3666667,1.1927987530808517,-0.3094036700548298,-1.538800301510322,0.0243654733710576,-0.0499494598785682,0.3240371761721269,0.2892165175310404,0.8926512710822277,-0.3322716121813669,
0.3833333,1.1953022067596215,-0.3080018975214504,-1.5378806686778903,0.0153773870865798,-0.0513018060837945,0.3266784050948514,0.2992284513047841,0.8928551906396418,-0.3324966214247974,
0.4,1.195236102588735,-0.3080388232779019,-1.536369055418833,0.0111398151037331,-0.0534261821030126,0.3258573444443151,0.3079042062072286,0.8942551447144735,-0.337218367289835,
0.4166667,1.193366826860048,-0.310669261702526,-1.5362585732846548,0.020917199315289,-0.0496288657587901,0.325091225711434,0.2972343517223896,0.8982681582724356,-0.3554199936375816,
0.4333333,1.1966475669354508,-0.3089631466826984,-1.5362567860675007,0.0147864449563263,-0.0490921791081969,0.3277063556786558,0.2977246806827205,0.8978274505935351,-0.3616062616840626,
0.45,1.195291831126284,-0.3094946458656887,-1.535411509671725,0.0183873180355186,-0.0500404667562879,0.3346161857458007,0.2947341075295815,0.9074272294022764,-0.3623570824315171,
0.4666667,1.196799837662442,-0.3097908216075011,-1.53582838732315,0.0124653040078968,-0.0490807520885183,0.3343856305441391,0.2981417278056164,0.9070174222541838,-0.3660032419178768,
0.4833333,1.1951123416405418,-0.308887172674892,-1.5355227916902987,0.0136167125507361,-0.0507776002826824,0.3344939386962008,0.2989193072430307,0.9052400475353924,-0.3700621672344771,
