Time,RHip_FE,RHip_AA,RKnee_FE,RAnkle_FE,RShoulder_AA,RShoulder_RIE,RElbow_FE,RElbow_PS,RWrist_FE,L5S1_FE
0.0,0.0653945779574303,-0.1247941747326677,-0.0150507328345729,0.0518647014711003,-2.762576993892876,-2.903383052184795,1.1545411562974883,1.4860233785729255,-0.2918134922343172,
0.01666667,0.0714831070422008,-0.1268261336481305,-0.0160827781353354,0.0536662966475204,-2.766298651261222,-2.9169168198826925,1.1610905591189356,1.490722792601118,-0.2833014842968278,
0.03333333,0.0775491292336022,-0.1287138306289405,-0.0174303241615199,0.0560216490163486,-2.7691255167193143,-2.926801604675099,1.1667524442133854,1.494336863511048,-0.2775400419566529,
0.05,0.0844745140241067,-0.1300162527381111,-0.019079078411882,0.0544959041754038,-2.7708711103886903,-2.936503324151192,1.1717287416374371,1.4972271341628711,-0.2656058830044411,
0.06666667,0.092381098136407,-0.1306481570477773,-0.0214917470442799,0.0526624197391546,-2.771479652768187,-2.942828860745336,1.178766962138616,1.50121004637629,-0.264281405344046,
0.08333333,0.1004960656602163,-0.1305180832436797,-0.0246219432214529,0.0572014645380934,-2.771899408118484,-2.947610832163273,1.1830784674903077,1.505539674005204,-0.2591575607520902,
0.1,0.1101351744164537,-0.1297960586835539,-0.0281957223329361,0.046325360655822,-2.771681607084864,-2.952156646047183,1.191489718617277,1.504299034108093,-0.2621032606174959,
0.11666667,0.119820380285296,-0.1284360035335545,-0.0320767961552972,0.0448087664016124,-2.772453119059666,-2.955130492139304,1.1974356827510262,1.503237340375728,-0.264591150148128,
0.13333333,0.1275434055021702,-0.1267073659123945,-0.0359782212148683,0.0423507286334406,-2.775163792015334,-2.9601489249530912,1.2000756204791705,1.5029558016631546,-0.2585871834873471,
0.15,0.1338032241667912,-0.1251453749462088,-0.0386021785338481,0.041426930572749,-2.77673399475565,-2.962075235598273,1.2039936160437257,1.5054119068282457,-0.2482555102815599,
0.16666667,0.1348157476108043,-0.1240176777484554,-0.0408945857777361,0.0429540390394385,-2.779273822492294,-2.969046087612055,1.2136360166654654,1.5029365194401116,-0.2515901827761784,
0.18333333,0.1354501337786668,-0.1233487073578658,-0.04129949448475,0.0454561013417284,-2.781194026404956,-2.972573938035206,1.2217332238933392,1.5046385781402247,-0.2545642510487131,
0.2,0.1360074811133463,-0.1226114776638296,-0.0411245739219237,0.045708715759806,-2.7834620161435426,-2.9752076068897426,1.2257113655983134,1.5053985616917192,-0.2462071613281574,
0.21666667,0.1380387242692829,-0.1210435990039452,-0.0418956731263584,0.0459235572386132,-2.784599258546975,-2.974539217693794,1.231161257416762,1.5061098631234535,-0.2475697355118663,
0.23333333,0.1412923312816011,-0.1199566786316379,-0.04345874916374,0.0520585239497257,-2.7870990493032437,-2.977254086770049,1.2347765992754538,1.5092550232300346,-0.2382968470981797,
0.25,0.1456942857037834,-0.1183527903386264,-0.0436085893452151,0.0425114099275645,-2.7851904312352227,-2.971596133378805,1.239351729978408,1.5058902226873352,-0.2536300066688495,
