Time,RHip_FE,RHip_AA,RKnee_FE,RAnkle_FE,L5S1_FE,RShoulder_AA,RShoulder_RIE,RElbow_FE,RElbow_PS,RWrist_FE
0.0,,,,,,,,,,
0.016666667,0.622615461,-0.258,-1.607483614,0.113992923,,,,,,
0.033333333,0.619941276,-0.263,-1.610817201,0.117160322,-0.930600888,-0.517,0.155798651,0.423556923,1.918414239,0.027294485
0.05,0.615218292,-0.269,-1.61249482,0.119844681,-0.944009713,-0.518,0.163612999,0.418156764,1.864348062,0.027026596
0.066666667,0.599553155,-0.265,-1.611699112,0.120139178,-0.950319318,-0.516,0.16669802,0.416193027,1.866362692,0.00127257
0.083333333,0.600578846,-0.262,-1.608681548,0.120227577,-0.944321143,-0.519,0.182983121,0.425452686,1.904826379,0.00340312
0.1,0.60009372,-0.257,-1.604327077,0.125632474,-0.927477978,-0.514,0.175610064,0.423855546,1.930011975,0.026058104
0.116666667,0.606218255,-0.256467981,-1.600160707,0.128387705,-0.909096785,-0.516644835,0.177134218,0.417828777,1.929520719,0.030332885
0.133333333,0.600954299,-0.257890087,-1.602066625,0.124390569,-0.914511225,-0.522102904,0.187313687,0.415482915,1.921381711,0.02693825
0.15,0.611338932,-0.254897421,-1.606715446,0.126218955,-0.91217978,-0.516287997,0.200441939,0.411542475,1.917105667,0.026960773
0.166666667,0.609666229,-0.250716477,-1.607485773,0.129570079,-0.908832031,-0.507129984,0.169208381,0.426517588,1.920173983,0.027701365
0.183333333,0.611611761,-0.244118207,-1.60192225,0.132034578,-0.901931352,-0.50875415,0.127936486,0.44623465,1.921024199,0.021444574
0.2,0.603395339,-0.255179752,-1.599766377,0.134740459,-0.908782839,-0.516449641,0.097723731,0.458308135,1.930728314,0.025637039
0.216666667,0.60444445,-0.259085069,-1.599386202,0.131597012,-0.905523209,-0.524897589,0.113287084,0.449938281,1.950487949,0.038535303
0.233333333,0.604014412,-0.256527718,-1.602031703,0.129952865,-0.920107262,-0.52203757,0.146782812,0.4413051,1.932040443,0.050864895
0.25,0.609551038,-0.262338037,-1.602634308,0.124683086,-0.930244086,-0.520875617,0.153497903,0.44475276,1.890692966,0.0656136
0.266666667,0.612270351,-0.266371875,-1.602427004,0.116793828,-0.930146656,-0.520437112,0.182431465,0.430076933,1.866358531,0.066095556
0.283333333,0.597627602,-0.262028036,-1.603076091,0.11529229,-0.937182975,-0.512871259,0.210203819,0.402839893,1.889509692,0.053763526
0.3,0.60227698,-0.25500431,-1.607781064,0.13040806,-0.930532477,-0.50734835,0.234689587,0.386964132,1.914811857,0.060003643
0.316666667,0.577576482,-0.253621057,-1.611447462,0.139730719,-0.954084788,-0.514719193,0.208179843,0.408821353,1.901986844,0.066400388
0.333333333,0.585721651,-0.256096367,-1.60933006,0.135566859,-0.936750889,-0.525763251,0.160756104,0.439785462,1.890972019,0.041145693
0.35,0.596977541,-0.264210423,-1.607807745,0.132358475,-0.920104749,-0.51893751,0.139227354,0.438447365,1.923620003,0.01337788
0.366666667,0.600005743,-0.260417158,-1.600754608,0.137359825,-0.911442786,-0.51718819,0.16470898,0.418083211,1.984750157,0.036125191
0.383333333,0.596244679,-0.257043487,-1.599602575,0.137111344,-0.92052559,-0.519362326,0.168128684,0.421308299,1.998270382,0.064817362
0.4,0.590522636,-0.255601008,-1.601139426,0.123008292,-0.935805942,-0.519747369,0.164598382,0.428205697,1.959511058,0.07012717
0.416666667,0.581906755,-0.260477766,-1.604373942,0.117977281,-0.954849475,-0.516489983,0.19110658,0.415162542,1.899504299,0.052488142
0.433333333,0.599233921,-0.262427953,-1.607504732,0.132967773,-0.934444966,-0.50500746,0.168907187,0.409240713,1.918139472,0.019240817
0.45,0.603103383,-0.258755495,-1.604739424,0.148924565,-0.912318884,-0.497174662,0.110063073,0.424128758,1.943194033,0.018198436
0.466666667,0.570659151,-0.256853231,-1.600982427,0.141183623,-0.951732149,-0.510858622,0.119846144,0.43880742,1.961061596,0.0189833
0.483333333,0.580045739,-0.256128005,-1.601858033,0.12134092,-0.955344735,-0.519884764,0.150375286,0.436030928,1.94386636,0.031066459
0.5,0.587710342,-0.255839177,-1.602694034,0.114920285,-0.948494919,-0.516312279,0.165660287,0.426893207,1.929368611,0.03228385
0.516666667,0.588729325,-0.253980442,-1.60083951,0.124433874,-0.926126243,-0.501306006,0.120539297,0.423318973,1.938602207,0.044121461
0.533333333,0.586580006,-0.254675953,-1.597212437,0.133558507,-0.934768534,-0.501633532,0.197131503,0.400622546,1.95757831,0.026421137
0.55,0.599307115,-0.2572156,-1.59809757,0.13928726,-0.920419747,-0.502765543,0.191930814,0.402592386,1.975496526,0.040060213
0.566666667,0.598465612,-0.253491949,-1.598057386,0.141898005,-0.923332993,-0.512928142,0.210492064,0.405862907,1.989654767,0.022198719
0.583333333,0.595017545,-0.249880063,-1.596212146,0.140215566,-0.911279096,-0.511842839,0.126336451,0.42208809,2.000586015,0.042746181
0.6,0.584490443,-0.247085049,-1.595980895,0.136681426,-0.929524037,-0.503988987,0.161541484,0.412979406,2.00925493,0.062536779
0.616666667,0.593480697,-0.246895559,-1.598273151,0.135491827,-0.921857248,-0.506508484,0.171689626,0.402279785,2.008718475,0.049831254
0.633333333,0.60846075,-0.252039163,-1.605527161,0.137,-0.919482002,-0.514882445,0.198133492,0.404350116,2.01250292,0.016231763
0.65,0.606526421,-0.257623394,-1.612127777,0.135410884,-0.934041908,-0.517898487,0.182476292,0.423624886,2.018595942,0.027103037
0.666666667,0.592678249,-0.25809453,-1.60835649,0.126365651,-0.945002532,-0.510235316,0.16806741,0.427093983,2.01076768,0.038371414
0.683333333,0.579015736,-0.257733266,-1.600269794,0.130543458,-0.953838295,-0.5165835,0.196863112,0.417588927,1.967996368,0.019103203
0.7,0.586497553,-0.252952787,-1.596677185,0.138036555,-0.936696542,-0.518099843,0.154021013,0.425018321,1.968991524,0.0186122
0.716666667,0.595775602,-0.259909239,-1.602790716,0.136653426,-0.941036185,-0.517301142,0.173006874,0.426101517,1.964833381,0.012012262
0.733333333,0.600371091,-0.260912677,-1.607920419,0.127008098,-0.938314434,-0.508596527,0.195742676,0.412658339,1.957111832,0.012773503
0.75,0.605211872,-0.25497823,-1.608418459,0.117506959,-0.942318695,-0.503236587,0.215990341,0.4024188,1.964580765,0.022611729
0.766666667,0.598044113,-0.250903517,-1.606189617,0.11372747,-0.947906913,-0.514493636,0.207196932,0.395898583,1.98371637,0.040322564
0.783333333,0.605727744,-0.257150885,-1.606968997,0.116548572,-0.940125047,-0.520241599,0.180884171,0.399859302,1.982064584,0.034349748
0.8,0.614183599,-0.261533845,-1.609037515,0.124597832,-0.934558795,-0.518880289,0.184756964,0.406574564,1.952599515,-0.001035623
0.816666667,0.616291633,-0.255277361,-1.603854884,0.124887545,-0.920225112,-0.517664425,0.164062281,0.420694862,1.927544705,0.00651711
0.833333333,0.607185298,-0.252304402,-1.600709555,0.127813803,-0.915515943,-0.522069636,0.130654057,0.42732102,1.928477305,0.055864367
0.85,0.592974946,-0.250764228,-1.601417647,0.126095254,-0.938882095,-0.521434909,0.13434164,0.425113929,1.948540097,0.087754969
0.866666667,0.602615218,-0.253232733,-1.603511814,0.123554513,-0.947668122,-0.517581244,0.200004262,0.412278462,1.975357294,0.043606143
