Temps,RHip_FE,RHip_AA,RKnee_FE,RAnkle_FE,L5S1_FE,RShoulder_AA,RShoulder_RIE,RElbow_FE,RElbow_PS,RWrist_FE
0.0,0.8911870108248227,-0.07634329929921645,-1.2297196628944718,-0.11032680535084494,-0.4797647022732559,-0.18421314708671926,0.3747326673802376,0.3979255700450046,1.6157964613489066,0.1247959977794361
0.008333333333333333,0.8913059462735617,-0.07630321521636049,-1.2297685576746273,-0.11027617009138793,-0.4796907821534727,-0.1839977364189795,0.37418838211038674,0.3980902667170435,1.616940582856803,0.1243971277997844
0.016666666666666666,0.8910031827514464,-0.07640253523084947,-1.2296912739101022,-0.1105617145311989,-0.479733448972963,-0.18405148431870003,0.3747166830733526,0.3980943350897362,1.6155388282351675,0.12486806202377815
0.025,0.8974987542946389,-0.06824437540252846,-1.2330960842765946,-0.10979317148511354,-0.48060300099063014,-0.18638092905235304,0.36058600276266795,0.399932041430993,1.628862895801372,0.12065303639688126
0.03333333333333333,0.8948048720057536,-0.06866603339133323,-1.2313767115299472,-0.10996660392015417,-0.47654849836596386,-0.18609814434178107,0.3614766061971397,0.39818504868934607,1.6294485299056192,0.12073201899303798
0.041666666666666664,0.894591427474698,-0.0692786698520367,-1.2312653080780207,-0.10972941665435969,-0.4767726270582105,-0.18653792371320296,0.3578538682269337,0.3998166153668861,1.632917602243461,0.12069262368006628
0.05,0.8944232955412597,-0.06906163764924901,-1.2311263374219916,-0.10983554400091462,-0.47694332225245945,-0.18643059736465115,0.3615972127203419,0.4000687484896694,1.630029019905589,0.12043738066593801
0.058333333333333334,0.8940274066334019,-0.06930278160994956,-1.2309096480178907,-0.11014028233421773,-0.4769670756171389,-0.18645936129734925,0.36011680274465674,0.40013123383330196,1.6321264443608647,0.12017461759651764
0.06666666666666667,0.8940841927340346,-0.06908083468397477,-1.230990660712242,-0.11011961624011211,-0.4769535770077804,-0.18642833084087093,0.3595996848437013,0.3999975467424596,1.6321252232882248,0.11992741160953632
0.075,0.8936516112069478,-0.06914691427296506,-1.2306602062491772,-0.11022096825857218,-0.47723645691636074,-0.18633580862516352,0.360304431721688,0.39982577570582584,1.6320508453763256,0.12021695383804806
0.08333333333333333,0.8934521511800311,-0.06925658463392467,-1.2305886401739095,-0.11002967887276713,-0.47723780251345804,-0.18601687734996503,0.36082962462588486,0.3998409105217405,1.6322255762269322,0.11967059599375894
0.09166666666666666,0.8937896525889703,-0.0692730117678158,-1.2308660751945257,-0.11003313014706166,-0.4773087317697456,-0.1861277933627998,0.36019828563800066,0.3996622182957514,1.63219004887305,0.11982146092448004
0.1,0.893321382771282,-0.06879205864126178,-1.2307018911556817,-0.11016921238722918,-0.4773361995236992,-0.18586017377020891,0.3600149181964152,0.39945310565361625,1.6324203182457446,0.11986240616947343
0.10833333333333334,0.892961415480975,-0.06882852333064117,-1.23055674543774,-0.11002306732653588,-0.47733248238547854,-0.18579793221880597,0.3607616962301002,0.39930138226300227,1.6322479794685552,0.1195177876629033
0.11666666666666667,0.8930428284506625,-0.06857198899492223,-1.2304525190193487,-0.11047944312916974,-0.4832759659948996,-0.18568906049882233,0.3601055629010698,0.39954105996901107,1.633302370261259,0.11974923803168971
0.125,0.8930610092631208,-0.06854174766569822,-1.230787312758964,-0.11020375849145296,-0.48304466177461425,-0.18555232869889804,0.3607008532481669,0.3996740563871798,1.6320690883197522,0.12014450507963789
0.13333333333333333,0.8930552748151243,-0.06826093065075425,-1.2307733506970653,-0.11028510490853063,-0.48306128448467717,-0.18546275038997534,0.3600573146879749,0.39933847995590527,1.6322871849752836,0.12012210280761901
0.14166666666666666,0.8929195204405401,-0.06828120324564073,-1.2308752633067568,-0.11027082679354493,-0.4827663692851072,-0.18565034492599344,0.3599744590248748,0.3992788303727579,1.631625612277406,0.12087258837418365
0.15,0.8925745127654948,-0.06835608883352551,-1.2308000159157944,-0.11016567941626534,-0.4830359995769423,-0.18556266178530958,0.3602821117479288,0.39936560965427387,1.631397783005437,0.12102396129898042
