Temps,RHip_FE,RHip_AA,RKnee_FE,RAnkle_FE,L5S1_FE,RShoulder_AA,RShoulder_RIE,RElbow_FE,RElbow_PS,RWrist_FE
0.0,-0.028179517500845422,-0.1587871503863416,0.019912595033524796,-0.18695878117603712,0.00013806047547779097,-0.13531199249230186,0.586126042004425,0.40643590051299366,1.5283750086660968,-0.07339224338999016
0.008333333333333333,-0.022414387904758765,-0.1596291124653436,0.012290406975800298,-0.18536474848198822,0.0021638171030799393,-0.13545875492405104,0.5861536745720184,0.40624903827674796,1.5278465176445168,-0.07323292504259389
0.016666666666666666,-0.015881945050008145,-0.16083068340023596,0.003687654045830719,-0.18382207588519,0.004100340029524288,-0.13549151395696782,0.5854853143022483,0.4065407753474313,1.5286900841941375,-0.07309542899892371
0.025,-0.008253235476256844,-0.16174281909335594,-0.007738365511751488,-0.17563852456221532,0.006710103791889845,-0.13527853268747936,0.575824489041275,0.41091209155207603,1.55043469094967,-0.07726299486177533
0.03333333333333333,-0.001423709380101352,-0.16323973887352505,-0.017485802977065725,-0.17322435359428742,0.009152845025976804,-0.13613548270702033,0.5735159572304125,0.4110134553286234,1.5527391254310572,-0.0785107794740142
0.041666666666666664,0.006836805863634958,-0.16508684673942528,-0.028120131947239085,-0.17089968876530942,0.011448931837257249,-0.13578965760351788,0.5738303470485708,0.41166222089357535,1.5515348556203563,-0.07829020191627138
0.05,0.015498366878246858,-0.16677542130651177,-0.03983518836407267,-0.1684407449724079,0.013958393842701486,-0.13556225502210079,0.5736017118372464,0.41187945980493484,1.5506505508032717,-0.07838500455920935
0.058333333333333334,0.02524065852956687,-0.1696954744763389,-0.05206505654342908,-0.1659893108187497,0.01739321973775097,-0.1361750336359745,0.5726552170670801,0.4124393257484339,1.5516958261872527,-0.07832811291241773
0.06666666666666667,0.035911866051071904,-0.17216022481342466,-0.06553755187976772,-0.1637899626543958,0.020910137478977842,-0.13651488442072976,0.5709449781020419,0.41282377681952814,1.5516387456959657,-0.07668671104288864
0.075,0.046938134341236164,-0.17465248348276483,-0.07942459477094661,-0.16234267539410202,0.02415602095921626,-0.13658369700924555,0.5688718936441096,0.41354005646693553,1.5532625575659242,-0.07572803987595397
0.08333333333333333,0.057693334740227836,-0.17721285522853003,-0.0935022545524557,-0.16119277596440124,0.02710529635225849,-0.1365237807822456,0.5675190050808344,0.4145600797125715,1.5544733765335155,-0.07550413340491759
0.09166666666666666,0.06955547797855846,-0.18038141326616486,-0.10846853117034684,-0.16033294422262032,0.030115211507294976,-0.1358928213144105,0.5660699765271344,0.41574920504358776,1.5540948656444469,-0.07350306159371678
0.1,0.08069857643517907,-0.18330378520095986,-0.12333732540779474,-0.1599134329597964,0.03244734129607924,-0.13496731807110018,0.5633460131737339,0.4169868835356766,1.5545683996865223,-0.07307498450030313
0.10833333333333334,0.09190319008956756,-0.18621415144049291,-0.13916016142952983,-0.15993466059637304,0.034119682642467834,-0.13460356952544453,0.5623341103365497,0.41760283629429873,1.5558990083649578,-0.07392793069138129
0.11666666666666667,0.10237791997424874,-0.18921138869383702,-0.15427466569932632,-0.16024735708092852,0.03535050356183431,-0.13512502329693662,0.5604493955200838,0.4190579558879496,1.5579011812951744,-0.07512362975742956
0.125,0.11258032153969443,-0.1925391853029714,-0.16867986153977024,-0.16131241441615246,0.03589762244037739,-0.1355201863199639,0.5581813780264819,0.4202234666969802,1.559407776039429,-0.07631298882212584
0.13333333333333333,0.12092555649404717,-0.1949889820309104,-0.18200946757535627,-0.1627055818827489,0.035584510801817584,-0.13637301188051396,0.5557180708283048,0.42161782727486924,1.5603586755005074,-0.07855599292708301
0.14166666666666666,0.12752117334452517,-0.19727126513387475,-0.1943981113504913,-0.1656549523906969,0.03412732974179638,-0.136335620746912,0.5536426373204301,0.42332444320080465,1.561410474758511,-0.08196091856837709
0.15,0.1345724858116453,-0.19996104528561,-0.20621207475427356,-0.1674957062055059,0.03316770028904038,-0.13632276253257047,0.5508402477676702,0.4250328016131998,1.5630609817277354,-0.08343638252651343
0.15833333333333333,0.14076042986879214,-0.20249486809227799,-0.2175356485124626,-0.16994238145211152,0.031639227118122046,-0.13731818604341042,0.5488950715707296,0.42689562197288394,1.5622100101195617,-0.0839236104828723
0.16666666666666666,0.14462342091347158,-0.204644590034394,-0.22612453103696478,-0.17516491903823017,0.02880779489560582,-0.13780635728826207,0.5477383354278845,0.4289588456412897,1.5615702208764561,-0.08463230598449129
0.175,0.14943950759891206,-0.20569583912668926,-0.23761891472508023,-0.17954862961613885,0.025444353621940734,-0.13893132265772015,0.5460307873108899,0.4310020196585185,1.5592456418562255,-0.08657826284322653
0.18333333333333332,0.1494108562172475,-0.2075454374091042,-0.24091440385952131,-0.18211489431288375,0.02135997696597706,-0.1395299842179589,0.5448726994498111,0.4330255117281884,1.555632197731163,-0.08859082720408717
0.19166666666666665,0.15015055392592808,-0.2097194878300787,-0.24574633296829013,-0.18457265086969232,0.017492667582374735,-0.1399750827585362,0.5426114586199431,0.43525585097775105,1.5534360908060831,-0.09016787305403
0.2,0.15204336813894626,-0.2101855498610966,-0.25380553922991794,-0.18672461279441877,0.012957556746543917,-0.14158173925420298,0.5410395226828749,0.4377297719082189,1.5516741508596676,-0.09018983792106613
0.20833333333333334,0.15103709276830674,-0.21010349115782456,-0.25682788168281967,-0.18863164778896213,0.008585022922107336,-0.14267109915450482,0.5380089205664048,0.439862851784815,1.5504945439362814,-0.0914653004337413
