Time,RHip_FE,RHip_AA,RKnee_FE,RAnkle_FE,L5S1_FE,RShoulder_AA,RShoulder_RIE,RElbow_FE,RElbow_PS,RWrist_FE
0,1.07022644555994,-0.266766772562998,-1.53137947244392,0.143592935350326,-0.60320333746361,-0.0319109151249288,0.172622583644234,0.286083744655701,0.284899377867018,0.510732434640267
0.016667,0.973518672834182,-0.246150916064833,-1.45820840838081,0.124076708876574,-0.596401555518804,-0.170775764262353,0.0944439308034328,0.369138151195708,0.568480623946945,-0.161894605507959
0.033333,0.988055972472981,-0.272580556801873,-1.47054175341381,0.12718035082662,-0.596303704775722,-0.113499056887556,0.225713018430424,0.372143867037752,0.96278757727113,0.060320113272461
0.05,0.977054844846491,-0.271416359809572,-1.46992799646208,0.126549260502464,-0.606557336009834,-0.12870132078656,0.348756963347352,0.211545302985562,1.21410273396138,0.0774004153256244
0.066667,0.973124630027903,-0.281368647393343,-1.4764931563897,0.129199281698479,-0.626726397870165,-0.125566701892055,0.370300435128083,0.291525817841611,1.36350707171094,-0.0690339491244081
0.083333,0.965374528535156,-0.284286339032585,-1.4783751129919,0.130325837875758,-0.636388666938572,-0.108443305915001,0.385060040963314,0.213123734154807,1.42753962322086,-0.0290435428797358
0.1,0.96286446458574,-0.287976448641024,-1.48035659468882,0.131919731249458,-0.645026272549873,-0.116829673732943,0.355193710365229,0.26645553262253,1.46186390710782,-0.0449436806359965
0.116667,0.962311657402651,-0.288078296912959,-1.4805692677879,0.133042735804222,-0.642615343341674,-0.107974626429957,0.339326007881423,0.231870358847806,1.49058639469601,-0.0355596617396219
0.133333,0.96276309503978,-0.286521319595879,-1.47946141019837,0.133842678720009,-0.639581156193504,-0.11695355877454,0.313111094954699,0.259601312840057,1.51534482442408,-0.0383924870667607
0.15,0.963507260095372,-0.284540889898726,-1.47814162196513,0.134710177476498,-0.632633375013235,-0.11589864417834,0.294901309246843,0.244148596250831,1.54061268509154,-0.0349644275080825
0.166667,0.963309629496318,-0.28290238886379,-1.47663419007636,0.135496999180056,-0.628713770713076,-0.122289072991827,0.277958653571477,0.25797865202089,1.55877785102275,-0.0349371865062924
0.183333,0.962511731020039,-0.282041411689198,-1.47562317204886,0.136346326401914,-0.625364193044209,-0.12231167811903,0.264741218224119,0.252223646047502,1.57669637070306,-0.0329954764755986
0.2,0.961013060843185,-0.281949386968153,-1.47496723124161,0.136983260580065,-0.625197841488775,-0.124018180697762,0.253290369577362,0.258020915227082,1.59155090470835,-0.0316338402635918
0.216667,0.959525234770171,-0.282553661902479,-1.47490827545619,0.137330869897507,-0.62632236439819,-0.122200149598888,0.245257760436321,0.25556190411272,1.60375920767625,-0.0298070432685173
0.233333,0.95849815837303,-0.283533333747219,-1.4753107661451,0.137240602935597,-0.629060750607328,-0.120494436743064,0.239676089196495,0.257568745749284,1.61234445033916,-0.028455239014074
0.25,0.958533348137652,-0.284635931406374,-1.47615253085278,0.136717178252041,-0.631836310544255,-0.117256503923241,0.236557821697213,0.256167479775802,1.61803271684325,-0.0273185703529606
0.266667,0.959878798672516,-0.285442238145595,-1.47713830551925,0.135760936928359,-0.634033095520242,-0.114527396571352,0.234812386490434,0.256767591627706,1.6213673593461,-0.0268818463674194
0.283333,0.962516173293854,-0.285594595329666,-1.47796230909267,0.134471803248007,-0.634484635269288,-0.112143394080133,0.233779626457829,0.256096047766405,1.62370598080548,-0.0269482370570981
0.3,0.965884468708313,-0.284905654477381,-1.47830412046623,0.13298956393387,-0.633074408622942,-0.111187792110318,0.232747639215825,0.256445999412536,1.62616032353952,-0.0276479787885253
0.316667,0.969011212965341,-0.283563447053264,-1.47802411774319,0.131580055493185,-0.630177003661849,-0.111391514430481,0.231446198656569,0.256306461423541,1.62963852493816,-0.0287043240224241
0.333333,0.970612303808149,-0.28209465205671,-1.47713276079678,0.130537376367646,-0.627080047981804,-0.112718745192877,0.229734816436136,0.256588730759394,1.63430176049331,-0.0300304693182617
0.35,0.969435740270843,-0.281182322107449,-1.47579130533803,0.130166435789621,-0.62526300913342,-0.114454302280463,0.22766746419686,0.256545651036015,1.63967909071697,-0.0313040339628446
0.366667,0.964504086117258,-0.281449892108539,-1.47420056092296,0.130666479536241,-0.626196126771275,-0.116105035296789,0.225374430088417,0.256526410569718,1.64468453694646,-0.0323517489944365
0.383333,0.955352144986996,-0.283254721415187,-1.47255005299606,0.132111269863465,-0.630785957213784,-0.117114241095822,0.22304507120538,0.25619121145215,1.64801047856918,-0.0329146442314222
0.4,0.942129367356025,-0.28664379523785,-1.4709787529754,0.134415078358293,-0.639287274723961,-0.117241324294205,0.22088103037757,0.255707779967063,1.64837850260727,-0.0329265579468365
0.416667,0.925630860393014,-0.291372160407591,-1.46958231943554,0.137361786471984,-0.651194938995684,-0.116390307499616,0.219015660981038,0.255022458818332,1.64491788451541,-0.0323425796489568
0.433333,0.90721040056044,-0.296947197288909,-1.46841044012989,0.140655645506593,-0.665374329420941,-0.114729766295641,0.217529527131092,0.254285290911026,1.63739238709823,-0.0312840673947377
0.45,0.888573836095395,-0.302707573514849,-1.4674718450728,0.143944783653079,-0.68024202639786,-0.112596746099018,0.216405344588851,0.253587510144351,1.62633377131936,-0.0299291908335656
0.466667,0.871519098501283,-0.30788959745272,-1.46672603593655,0.14688264024972,-0.694063222757642,-0.110473082881871,0.215664884566156,0.253030956251855,1.61297532668457,-0.0285207591188329
0.483333,0.857611593850009,-0.311774898814184,-1.46610928347476,0.149181203474701,-0.705297172383765,-0.108835017242518,0.215385016193574,0.252660678678269,1.59902264249707,-0.0272895526100846
0.5,0.847860457978771,-0.313875778924403,-1.46555503213969,0.150634220314847,-0.712940713450604,-0.108025901581666,0.215722761272951,0.252455856117355,1.58626070871253,-0.0264372205866961
0.516667,0.842537394184341,-0.314062055008715,-1.4650260739386,0.15119991083758,-0.716715103465174,-0.108149033183401,0.216835769045872,0.252353072580973,1.57620844461011,-0.0260761882736374
0.533333,0.841164215896992,-0.312588565957312,-1.46450183336123,0.150957988273673,-0.717071234665548,-0.109055119063377,0.218812981121085,0.25227656668827,1.56980899489901,-0.0262189166243049
0.55,0.842694671117098,-0.310032856124346,-1.4639956790375,0.150121400817129,-0.714993475680969,-0.110410593076223,0.221636551840059,0.252104107035353,1.5672706990966,-0.0267331999267042
0.566667,0.845768830956902,-0.307109727539137,-1.4635321695622,0.148966227409086,-0.711742576631026,-0.111827762679938,0.225174097256811,0.251792165810502,1.56808480473255,-0.0274624232987532
0.583333,0.849032272098248,-0.304534885999044,-1.46314615792207,0.14779703510161,-0.708560047375244,-0.11295472591455,0.229128833289376,0.2512929807018,1.57113664277799,-0.0281471519169155
0.6,0.851460825355011,-0.302806414778696,-1.46285977879892,0.14685692821988,-0.706382376631527,-0.113537708130699,0.233191409063444,0.250590229047225,1.57511241839455,-0.0286231944835621
0.616667,0.852301105555974,-0.302376898397308,-1.46275559437543,0.146366692846914,-0.70576257545988,-0.113613980265552,0.236850983390076,0.249971708107445,1.57820676212833,-0.0289003735972884
0.633333,0.851589917048277,-0.303066986576975,-1.46280160460419,0.146397030400437,-0.706875530221764,-0.112923345813146,0.239741543773496,0.249134965797399,1.58000078596363,-0.0286413686386099
0.65,0.849490010101286,-0.304752080472623,-1.46296994569791,0.146932285197038,-0.709146261092746,-0.1120164286041,0.241747548098774,0.248505638881518,1.57957011547764,-0.0282114537326066
0.666667,0.846739415173168,-0.306908797088547,-1.46322672215157,0.147885727637843,-0.712054891031374,-0.11089403391805,0.242710146767906,0.247891475260523,1.57734965346589,-0.0274825266015424
0.683333,0.843992864480114,-0.309063251264512,-1.46348334529487,0.149089959036682,-0.714736457192868,-0.110002815094903,0.242816025984808,0.247476145727039,1.57390207244897,-0.0267927030354272
0.7,0.841925140849566,-0.310723709949912,-1.46369343232654,0.150358372308375,-0.716632716303136,-0.10945724125235,0.242323659746329,0.247156950416409,1.57033060958464,-0.0261897218787271
0.716667,0.840837606508049,-0.311603512136197,-1.4638153035619,0.15152894057441,-0.717414048067477,-0.109382561124405,0.241598133463463,0.24696654027096,1.56760410329272,-0.0258952142737709
0.733333,0.840734262003456,-0.311741194186677,-1.46386038362074,0.152498938824738,-0.71721000100325,-0.109695731232151,0.24102343802894,0.246830537138713,1.56655176573986,-0.0259250013988065
0.75,0.841239401933852,-0.311231724623215,-1.46384125085638,0.153222009552309,-0.716418423985326,-0.110219343190814,0.240892279266031,0.246702809407438,1.56752761318311,-0.0262917655976038
0.766667,0.841805556335217,-0.310380107198754,-1.46378489998937,0.153695187084653,-0.715655248737888,-0.110734024839731,0.241367693796934,0.246527818678181,1.57043913214645,-0.0268834042204332
0.783333,0.841855787334891,-0.309502464414762,-1.46370993291458,0.153972844449013,-0.715448617494421,-0.111089586176947,0.242486221530941,0.246289910354645,1.57471298382311,-0.0275746617376083
0.8,0.841021326041124,-0.308849211550138,-1.46364075476153,0.154111019872274,-0.716153991037148,-0.111177092911477,0.244107921356521,0.24599430113469,1.57954510200171,-0.0282223249244818
0.816667,0.839256659258595,-0.308520691901651,-1.46359388167949,0.154156082620187,-0.717784248766996,-0.110992178267787,0.245999469606741,0.245652224856405,1.58412455775369,-0.0287272240324019
0.833333,0.836940971840857,-0.308434573609105,-1.46359109860623,0.154124799188884,-0.719997376723008,-0.1105973471733,0.247911492001487,0.245293795696369,1.58788261250841,-0.0290373042785491
0.85,0.834843276672927,-0.308345924482988,-1.46364718546961,0.153985753957445,-0.722106012864794,-0.110127486932101,0.249606479486502,0.24494056106861,1.59064144935326,-0.0291559442746223
0.866667,0.834019359558898,-0.307894080096215,-1.46379289151626,0.15366397112648,-0.723211055889248,-0.109755231965323,0.250945541707188,0.244636711801067,1.59265680457242,-0.0291585699979594
0.883333,0.835585670679773,-0.306691955706787,-1.46405110668568,0.153036561107681,-0.722393181100878,-0.109636407410547,0.251881440724496,0.244395389518049,1.59453392015308,-0.0291638090683905
0.9,0.840494076271627,-0.30443090851894,-1.46445596437752,0.151983401178401,-0.71890973694362,-0.109874851220619,0.252431645201505,0.244272728925389,1.59703165507759,-0.0292492086602344
0.916667,0.849283251530595,-0.300979951415485,-1.46504059768778,0.150407256802781,-0.712377120762955,-0.110460345976439,0.252662148706512,0.24428622043597,1.60085239054124,-0.0294593826094597
0.933333,0.861951768751092,-0.296419881325343,-1.46582085424809,0.148248893797764,-0.702856833846316,-0.111296887678559,0.252673700881622,0.244467850136256,1.60640209087227,-0.0297525109095613
0.95,0.877886166136598,-0.291042311475617,-1.46678661536033,0.145544583760749,-0.690868736106057,-0.112224028266791,0.252574910749223,0.244822602875251,1.61369715021728,-0.0300141484127329
0.966667,0.895975215374525,-0.285280981501965,-1.46789294933041,0.142388884196016,-0.677280889677127,-0.113077893441356,0.252410580718518,0.245347042132913,1.62221995036594,-0.0300726177711434
0.983333,0.914753486359838,-0.27967102476653,-1.46906561912734,0.138977185475898,-0.663206417465917,-0.113742452370813,0.252202503455544,0.246017125182088,1.6310417041136,-0.0297624081725673
1,0.932659142738866,-0.27472641524232,-1.47022826667024,0.135572225620995,-0.649812976987963,-0.114169609508913,0.251919372989489,0.246773414773685,1.63899948681745,-0.0289540787251337
1.016667,0.948264678022621,-0.270870067611152,-1.47129669321809,0.132449749096442,-0.638175582019489,-0.114384938224912,0.251540248453948,0.247562094496601,1.64497437920591,-0.0276405621028444
1.033333,0.960454290558618,-0.268364822891364,-1.47220155383937,0.12989475533672,-0.629126065944663,-0.114451976595716,0.251030579184824,0.248268119254198,1.64816172773428,-0.0259041543104088
1.05,0.968591892445579,-0.267257300207157,-1.47287733827333,0.128123940676502,-0.623128749187729,-0.114485090077658,0.250405180190348,0.248814104019741,1.64831060277832,-0.0239362015405013
1.066667,0.972553886163748,-0.267395131799467,-1.47326550451043,0.12725677147068,-0.620226199070799,-0.114586449082363,0.249688674343204,0.249119760241214,1.64577800001802,-0.02204194043491
1.083333,0.972753715108354,-0.268462029267475,-1.47334127623455,0.127298655927303,-0.620061322728254,-0.114839859195317,0.248899052569647,0.249150949733556,1.64144854625071,-0.0204965970357278
1.1,0.970027839361557,-0.270075880550206,-1.47312837812804,0.128152561035015,-0.621980841937378,-0.115266797997129,0.248020878422623,0.248940078091896,1.63651246852975,-0.0195687146485178
1.116667,0.965500647285585,-0.271851629540733,-1.47270451487965,0.129610807050455,-0.625193616532908,-0.115815948817198,0.247017181180607,0.248548872269367,1.63223406461747,-0.0194176754936965
1.133333,0.960390786887212,-0.273507587205317,-1.47221184162596,0.131412461150924,-0.628902181323026,-0.116384943970578,0.245811119875481,0.248133102832957,1.62967646430424,-0.0200817239710431
