participant,task,joint,method,bias,conf_interval,r_squared,rmsd
participant_01,mmh,RHip_FE,Method1,-0.046687005045262193,0.015320123797278535,0.9926844430856158,0.09104543493542792
participant_01,mmh,RHip_FE,Method2,0.10476504176231467,0.05548913682252386,0.9874781733478404,0.3018704417000945
participant_01,mmh,RHip_AA,Method1,0.07437654991609136,0.009113754950058802,0.8584687070124019,0.08771547699971412
participant_01,mmh,RHip_AA,Method2,0.11051693456534792,0.01228782103038092,0.7737878900291272,0.12706061788015455
participant_01,mmh,RKnee_FE,Method1,-0.081219203214724,0.005513778794493586,0.9985456987482849,0.08595313629748462
participant_01,mmh,RKnee_FE,Method2,-0.0383294727030625,0.008036889825805488,0.9967572977862417,0.05612950001886027
participant_01,mmh,RAnkle_FE,Method1,0.23676465759914309,0.005276013015416897,0.9779863038439348,0.23828996026628377
participant_01,mmh,RAnkle_FE,Method2,-0.0650674647758873,0.01794635487393399,0.902707663263075,0.11232793225102702
participant_01,mmh,L5S1_FE,Method1,-0.18888254058182352,0.014107251894566391,0.9667998529471941,0.20213145801557988
participant_01,mmh,L5S1_FE,Method2,,,,
participant_01,mmh,RShoulder_AA,Method1,0.18542399763694928,0.04058695585035252,0.8990609219123953,0.27796160731435
participant_01,mmh,RShoulder_AA,Method2,0.11801369841076209,0.031104887530372854,0.9367492010217734,0.1977685945888271
participant_01,mmh,RShoulder_RIE,Method1,-0.04586475518207507,0.052350127925029945,0.7663357467446579,0.2710017964312571
participant_01,mmh,RShoulder_RIE,Method2,0.07795088459488311,0.0756299905012415,0.6307235926656574,0.3936621806093096
participant_01,mmh,RElbow_FE,Method1,-0.1261490242095759,0.01035981776562771,0.9866085116407374,0.13677483529961582
participant_01,mmh,RElbow_FE,Method2,-0.16021297718905753,0.013243521332609462,0.9776050631635749,0.17387859552478077
participant_01,mmh,RElbow_PS,Method1,0.24244983838872108,0.05298101572407958,0.6950616441577209,0.3631117260448579
participant_01,mmh,RElbow_PS,Method2,,,,
participant_01,mmh,RWrist_FE,Method1,-0.1668630791674035,0.01592153855025705,0.8532330845401257,0.1855855063756723
participant_01,mmh,RWrist_FE,Method2,,,,
participant_01,exotic,RHip_FE,Method1,0.3498649631062869,0.0663782860336245,0.9498764981830848,0.48692842198757624
participant_01,exotic,RHip_FE,Method2,,,,
participant_01,exotic,RHip_AA,Method1,-0.08454728261231688,0.019468170241014788,0.9788796799657411,0.1304383962901581
participant_01,exotic,RHip_AA,Method2,,,,
participant_01,exotic,RKnee_FE,Method1,-0.08021347236416072,0.01455721469960466,0.9902414643272326,0.10931814758390801
participant_01,exotic,RKnee_FE,Method2,,,,
participant_01,exotic,RAnkle_FE,Method1,0.17766890954474385,0.022563351187911848,0.8811597666113955,0.21170417453851442
participant_01,exotic,RAnkle_FE,Method2,,,,
participant_01,exotic,L5S1_FE,Method1,-0.10029437045817229,0.031227066950917513,0.960752807635088,0.18554527785408534
participant_01,exotic,L5S1_FE,Method2,,,,
