Time,RHip_FE,RHip_AA,RKnee_FE,RAnkle_FE,L5S1_FE,RShoulder_AA,RShoulder_RIE,RElbow_FE,RElbow_PS,RWrist_FE
0.0,,,,,,,,,,
0.016666667,-0.285771784,0.0939,-0.032315756,0.245173235,-0.038474777,-0.63,0.35300689,0.518924147,1.384312143,0.083101179
0.033333333,-0.301211426,0.0832,-0.037689022,0.24524934,-0.038125512,-0.626,0.360335182,0.504535488,1.416019115,0.089994589
0.05,-0.32991379,0.0672,-0.061533784,0.238905945,-0.051892473,-0.626,0.293249301,0.510618221,1.422066452,0.110326902
0.066666667,-0.334291641,0.0456,-0.121946561,0.238949086,-0.059518392,-0.629,0.325681347,0.513910663,1.400244732,0.089129901
0.083333333,-0.325419626,0.0281,-0.183648068,0.229963769,-0.049600183,-0.637,0.326393916,0.512642633,1.393219118,0.088713128
0.1,-0.319295159,0.0141,-0.251688818,0.20777956,-0.049626891,-0.632321345,0.381508676,0.481751388,1.385869275,0.080039264
0.116666667,-0.270527493,0.00367495,-0.342888999,0.168834237,-0.023591498,-0.639996471,0.385187644,0.458809738,1.375381835,0.080396856
0.133333333,-0.233852563,-0.007294165,-0.445791999,0.095009005,-0.019082301,-0.646525125,0.330985999,0.448070638,1.381833084,0.096285087
0.15,-0.186541073,-0.021117256,-0.558001226,-0.006644223,-0.019623028,-0.63249493,0.294994334,0.429186323,1.400377973,0.099828021
0.166666667,-0.12977923,-0.043269342,-0.675033535,-0.116922251,-0.021263321,-0.622792956,0.321974878,0.404189704,1.43170702,0.097058913
0.183333333,-0.073470068,-0.066362508,-0.783919786,-0.198242205,-0.021367202,-0.615449299,0.331146196,0.380007826,1.452934509,0.102888633
0.2,0.00713819,-0.086003645,-0.882472434,-0.234667831,0.005716049,-0.620314226,0.344214661,0.349354126,1.459071988,0.104429684
0.216666667,0.067894312,-0.105462753,-0.97008184,-0.226459309,0.004073379,-0.623276155,0.375589133,0.319741308,1.457488544,0.087027998
0.233333333,0.131936056,-0.116806409,-1.054730283,-0.200393916,0.004938615,-0.622394257,0.342941462,0.305358904,1.480291256,0.088030518
0.25,0.198691019,-0.119231608,-1.125156635,-0.169488329,-0.005329389,-0.623947501,0.367325456,0.294101391,1.524384024,0.09162358
0.266666667,0.24322237,-0.11831047,-1.168902526,-0.142274717,-0.023299246,-0.623365393,0.363020525,0.283311348,1.540473468,0.089817622
0.283333333,0.317763609,-0.124056162,-1.200626736,-0.115475056,-0.002576283,-0.637986532,0.363377598,0.273208387,1.522098425,0.077761718
0.3,0.353303967,-0.124785991,-1.209828255,-0.092256253,-0.020409813,-0.63257558,0.375771101,0.255424723,1.482455022,0.065022826
0.316666667,0.383919258,-0.121827416,-1.197739922,-0.068380742,-0.025508226,-0.632997489,0.333696946,0.238603009,1.492191675,0.098274616
0.333333333,0.41591545,-0.121768583,-1.172209653,-0.034033551,-0.032895159,-0.618611351,0.317895588,0.208376867,1.495930911,0.119173071
0.35,0.469173479,-0.1301177,-1.13649986,0.007624691,-0.025753212,-0.614924727,0.324031425,0.194164781,1.496546513,0.114016106
0.366666667,0.481668272,-0.14107241,-1.085281258,0.034801343,-0.044429411,-0.619039471,0.303365984,0.207347819,1.517493132,0.106055803
0.383333333,0.462370428,-0.146190036,-1.020597785,0.043675336,-0.080774534,-0.627235243,0.278973069,0.23052459,1.545971281,0.108349189
0.4,0.419971831,-0.143156191,-0.940425243,0.050789582,-0.134068767,-0.622534091,0.2411336,0.241542093,1.561690209,0.109479236
0.416666667,0.399640917,-0.139993858,-0.856783025,0.053649433,-0.168108547,-0.618917127,0.23308547,0.233681436,1.564936395,0.108675108
0.433333333,0.3787529,-0.129010144,-0.756471203,0.046549121,-0.197552475,-0.621277034,0.246252522,0.216805179,1.565735818,0.107053811
0.45,0.373971284,-0.126920194,-0.645459709,0.036866805,-0.210997269,-0.619755507,0.247879447,0.203933462,1.564462179,0.100065154
0.466666667,0.397156944,-0.139248056,-0.535978808,0.0260108,-0.186423225,-0.622214026,0.246228193,0.204149227,1.567776789,0.105760324
0.483333333,0.39190988,-0.151746571,-0.425954209,0.014651483,-0.184051105,-0.635518803,0.243601371,0.200728291,1.583705298,0.125304608
0.5,0.36422978,-0.158008112,-0.315694774,0.001613696,-0.198147592,-0.643947361,0.215884739,0.196171438,1.605228424,0.141215915
0.516666667,0.33607782,-0.156229106,-0.208276106,-0.023233216,-0.214687203,-0.658140714,0.169103114,0.1978547,1.637536057,0.131847063
0.533333333,0.34068877,-0.151071813,-0.123141063,-0.058381079,-0.192358623,-0.662807399,0.127658923,0.202780362,1.645433543,0.115836722
0.55,0.360721589,-0.153008789,-0.0703787,-0.076217917,-0.160471666,-0.659422374,0.127394822,0.187520259,1.636562587,0.14271888
0.566666667,0.339452155,-0.158271056,-0.047049997,-0.074731921,-0.167785143,-0.65161936,0.14232009,0.158272119,1.612965094,0.177722609
0.583333333,0.337730306,-0.16474615,-0.062179187,-0.066646249,-0.155557978,-0.639442833,0.161896288,0.133727869,1.595489619,0.183786339
0.6,0.325250978,-0.150761587,-0.085407328,-0.087586817,-0.153531591,-0.62767563,0.181304764,0.123097398,1.581632016,0.172630538
